site,lat,long,depth
Afareaitu,-17.56585,-149.78585,-1.379999995
Afareaitu,-17.56918333,-149.7840833,-8.93999958
Afareaitu,-17.56241667,-149.7898833,-1.840000033
Aroa,-17.47336667,-149.7772333,-1.090000033
Aroa,-17.47075,-149.7774,-5.940000057
Aroa,-17.47391667,-149.7769,-1.340000033
Entre_2_baies,-17.48028333,-149.8367667,-1.309999943
Entre_2_baies,-17.47553333,-149.8370333,-5.980000019
Entre_2_baies,-17.48405,-149.8365167,-1.929999948
Entre_2_Baies,-17.48028333,-149.8367667,-1.309999943
Entre_2_Baies,-17.48405,-149.8365167,-1.929999948
Gendron,-17.50016667,-149.92245,-1.309999943
Gendron,-17.4995,-149.9275667,-11.80000019
Gendron,-17.50096667,-149.9181333,-1.470000029
Haapiti,-17.55093333,-149.8962,-1.690000057
Haapiti,-17.55438333,-149.8977333,-8.079999924
Haapiti,-17.54628333,-149.8925833,-1.450000048
Maatea,-17.5923,-149.7957833,-1.779999971
Maatea,-17.5962,-149.7945,-6.739999771
Maatea,-17.59038333,-149.8011667,-3.25
Motu_Ahi,-17.54603333,-149.7718667,-1.690000057
Motu_Ahi,-17.54913333,-149.7706333,-12.93000031
Motu_Ahi,-17.54446667,-149.7755667,-3.40E+38
Nuarei,-17.49965,-149.7575833,-1.980000019
Nuarei,-17.50063333,-149.75465,-10.59000015
Nuarei,-17.49786667,-149.7582167,-1.220000029
Pihaena,-17.48263333,-149.82825,-1.100000024
Pihaena,-17.4766,-149.8290333,-8.18999958
Pihaena,-17.48455,-149.82795,-1.220000029
Taotaha,-17.5321,-149.9158333,-1.820000052
Taotaha,-17.53336667,-149.9188167,-13.60999966
Taotaha,-17.52985,-149.9107833,-1.220000029
Temae,-17.50575,-149.7617667,-1.600000024
Temae,-17.50675,-149.7599667,-10.21000004
Temae,-17.50381667,-149.7659333,-0.589999974
Tetaiuo,-17.50898333,-149.9234,-1.360000014
Tetaiuo,-17.50521667,-149.9275333,-22.54999924
Tetaiuo,-17.50758333,-149.9188667,-1.159999967
Tiahura,-17.48475,-149.8996944,-0.980000019
Tiahura,-17.48283333,-149.8994444,-12.32999992
Tiahura,-17.4889444,-149.8995278,-0.959999979
Tiahura,-17.48575,-149.8997,-1.159999967
Tiahura,-17.483,-149.89975,-5.019999981
Tiahura,-17.4891,-149.9000833,-2.019999981